query,category,mode,k,temp,label,answer,citations,raw_response,used_citation
What is the refund policy for a non-refundable ticket if a family member passes away?,normal,rag,5,0.0,REFUND,The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility],"['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_force_majeure']","REFUND
The ticket is eligible for a full refund because it was canceled within 24 hours of purchase and meets the conditions described here. [aa_refund_eligibility]",True
What is the refund policy for a non-refundable ticket if a family member passes away?,normal,rag,5,0.7,ABSTAIN,"The question does not provide sufficient information about the specific circumstances under which the family member passed away or the status of the ticket (e.g., whether it was fully booked, partialy used, etc.). Therefore, based solely on the given evidence, it cannot determine whether the ticket qualifies for a refund or if there are any exceptions to the policy.","['aa_non_refundable', 'aa_refund_eligibility', 'aa_force_majeure', 'aa_flight_delays', 'aa_force_majeure']","ABSTAIN
The question does not provide sufficient information about the specific circumstances under which the family member passed away or the status of the ticket (e.g., whether it was fully booked, partialy used, etc.). Therefore, based solely on the given evidence, it cannot determine whether the ticket qualifies for a refund or if there are any exceptions to the policy.",False
What is the refund policy for a non-refundable ticket if a family member passes away?,normal,llm_only,NA,0.0,NO_REFUND,"The refund policy for a non-refundable ticket typically does not allow refunds under any circumstances, including when a family member passes away. This is because such tickets are often sold with a ""no refund"" clause to ensure that passengers can travel without worrying about being able to return home at a later date.",NA,"[NO_REFUND]
The refund policy for a non-refundable ticket typically does not allow refunds under any circumstances, including when a family member passes away. This is because such tickets are often sold with a ""no refund"" clause to ensure that passengers can travel without worrying about being able to return home at a later date.",NA
What is the refund policy for a non-refundable ticket if a family member passes away?,normal,llm_only,NA,0.7,ABSTAIN,"The provided information is insufficient to determine the appropriate action based solely on the given details. The ticket's refund policy is not specified, and there is no mention of the circumstances surrounding the death of a family member. Without this critical detail, it is impossible to ascertain whether the deceased qualifies for a refund under the airline's policy.",NA,"[ABSTAIN]
The provided information is insufficient to determine the appropriate action based solely on the given details. The ticket's refund policy is not specified, and there is no mention of the circumstances surrounding the death of a family member. Without this critical detail, it is impossible to ascertain whether the deceased qualifies for a refund under the airline's policy.",NA
How long does it take for American Airlines to process a refund to my credit card?,normal,retrieval_only,NA,NA,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
How long does it take for American Airlines to process a refund to my credit card?,normal,rag,2,0.0,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
How long does it take for American Airlines to process a refund to my credit card?,normal,rag,2,0.7,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
How long does it take for American Airlines to process a refund to my credit card?,normal,rag,5,0.0,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
How long does it take for American Airlines to process a refund to my credit card?,normal,rag,5,0.7,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
How long does it take for American Airlines to process a refund to my credit card?,normal,llm_only,NA,0.0,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
How long does it take for American Airlines to process a refund to my credit card?,normal,llm_only,NA,0.7,ABSTAIN,"The request is too vague or consists only of general complaints. Please provide specific details such as ticket type, booking date, or reason for the refund to determine eligibility.",NA,Pre-filtered by is_ambiguous_refund_query,False
What happens to my ticket value if I don't show up for my flight without notifying the airline?,normal,retrieval_only,NA,NA,NO_REFUND,"Based on the retrieved policy text, this type of ticket/situation is not eligible for a refund. See: ['aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_force_majeure', 'aa_flight_delays', 'aa_24_hour_refund_rule']","['aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_force_majeure', 'aa_flight_delays', 'aa_24_hour_refund_rule']","[aa_24_hour_refund_rule] rebook a future flight. If you cancel your flight, any fees you paid for checked bags or seats at the airport are non-refundable. How do I find the value of my travel credit? This content can be expanded To check your travel credit balance, follow these steps: AAdvantage® members Log in to your AAdvantage® account. Click ‘Travel credit’ in the account summary menu. View your available travel credit and number available. Click ‘View details’ for your travel credit balance. Log in to your account Non-AAdvantage® members Before you start, you’ll need your confirmation code (also known as a 'Record Locator') or 13-digit ticket number, which begins with '001'. If you don't know your confirmation code or ticket number, check the email we sent you when you booked your trip, your cancellation email or your credit card statement. Keep in mind that there are separate ticket numbers for add-ons like seats, upgrades and bags. Go to 'Manage trips / Check-in' on the homepage. Select 'View travel credits'. Enter your last name and confirmation code or 13-digit credit / ticket number. Click the 'Find your trip' button. View your available travel credit and balance. Find your travel credit How do I apply
[aa_cancellation_policy] rebook a future flight. If you cancel your flight, any fees you paid for checked bags or seats at the airport are non-refundable. How do I find the value of my travel credit? This content can be expanded To check your travel credit balance, follow these steps: AAdvantage® members Log in to your AAdvantage® account. Click ‘Travel credit’ in the account summary menu. View your available travel credit and number available. Click ‘View details’ for your travel credit balance. Log in to your account Non-AAdvantage® members Before you start, you’ll need your confirmation code (also known as a 'Record Locator') or 13-digit ticket number, which begins with '001'. If you don't know your confirmation code or ticket number, check the email we sent you when you booked your trip, your cancellation email or your credit card statement. Keep in mind that there are separate ticket numbers for add-ons like seats, upgrades and bags. Go to 'Manage trips / Check-in' on the homepage. Select 'View travel credits'. Enter your last name and confirmation code or 13-digit credit / ticket number. Click the 'Find your trip' button. View your available travel credit and balance. Find your travel credit How do I apply
[aa_force_majeure] be expanded Our goal is to provide timely, frequent and helpful updates – from the time you are ticketed, at the airport and on board – when there are delays, cancellations and diversions. Rebooking your delayed / canceled flight When your flight is canceled or a delay could cause you to miss your connection, we'll rebook you on the next American Airlines flight with available seats at no additional cost. If no American flights are available until the next day, and the disruption is caused by us, we’ll rebook you on one of our partner airlines with available seats at no additional cost. We’ll rebook you in your originally ticketed cabin or class with your original form of payment. If your flight was delayed or canceled and you don’t accept our alternative arrangements, or none were available, we'll refund the remaining ticket value and any optional fees according to our involuntary refunds policy. Beyond that, we have no further contractual obligation. Delays caused by us If the disruption is our fault or you're diverted to another city, and we don't board before 11:59 p.m. local time on your scheduled arrival day, we'll arrange an overnight stay or cover the cost
[aa_flight_delays] be expanded Our goal is to provide timely, frequent and helpful updates – from the time you are ticketed, at the airport and on board – when there are delays, cancellations and diversions. Rebooking your delayed / canceled flight When your flight is canceled or a delay could cause you to miss your connection, we'll rebook you on the next American Airlines flight with available seats at no additional cost. If no American flights are available until the next day, and the disruption is caused by us, we’ll rebook you on one of our partner airlines with available seats at no additional cost. We’ll rebook you in your originally ticketed cabin or class with your original form of payment. If your flight was delayed or canceled and you don’t accept our alternative arrangements, or none were available, we'll refund the remaining ticket value and any optional fees according to our involuntary refunds policy. Beyond that, we have no further contractual obligation. Delays caused by us If the disruption is our fault or you're diverted to another city, and we don't board before 11:59 p.m. local time on your scheduled arrival day, we'll arrange an overnight stay or cover the cost
[aa_24_hour_refund_rule] date, or both. Review and confirm your changes. Check your email for a confirmation of your new flight. Find your trip Log in to your account Important information Basic Economy tickets cannot be changed after 24 hours.* Travel must be completed within 1 year of the original ticket date. A difference in ticket price may apply. *Changes for trips that begin in Europe are allowed with a fee (excludes Finland, Estonia, Latvia and Lithuania). Cancel your trip Find your trip using your confirmation code or log in to your AAdvantage ® account. Click 'Cancel trip' in the menu. You'll be prompted to confirm the cancellation. Click 'Cancel trip' to confirm. Check your email for your trip cancellation information. Find your trip Log in to your account Important information Keep the cancellation email if you’re issued a travel credit. It contains the ticket number and original confirmation code you’ll use to rebook a future flight. If you cancel your flight, any fees you paid for checked bags or seats at the airport are non-refundable. How do I find the value of my travel credit? This content can be expanded To check your travel credit balance, follow these steps: AAdvantage® members Log",True
What happens to my ticket value if I don't show up for my flight without notifying the airline?,normal,rag,2,0.0,ABSTAIN,"The user's question lacks essential details such as the ticket type, booking date, reason for cancellation, etc., making it difficult to determine the appropriate action based solely on the given evidence.","['aa_24_hour_refund_rule', 'aa_cancellation_policy']","ABSTAIN
The user's question lacks essential details such as the ticket type, booking date, reason for cancellation, etc., making it difficult to determine the appropriate action based solely on the given evidence.",False
What happens to my ticket value if I don't show up for my flight without notifying the airline?,normal,rag,2,0.7,REFUND,"If you don't show up for your flight without notifying the airline and it's more than 24 hours after the original booking date, the ticket may become non-refundable under certain circumstances. However, specific details about how long after the original booking date the ticket becomes non-refundable depend on the individual terms and conditions outlined in the passenger's ticket, the airline's policies, and possibly local regulations. For detailed information, the passenger should review their ticket and contact the airline directly to inquire about the specific conditions and procedures regarding cancellations and refunds. [aa_refund_overview]","['aa_24_hour_refund_rule', 'aa_cancellation_policy']","REFUND
If you don't show up for your flight without notifying the airline and it's more than 24 hours after the original booking date, the ticket may become non-refundable under certain circumstances. However, specific details about how long after the original booking date the ticket becomes non-refundable depend on the individual terms and conditions outlined in the passenger's ticket, the airline's policies, and possibly local regulations. For detailed information, the passenger should review their ticket and contact the airline directly to inquire about the specific conditions and procedures regarding cancellations and refunds. [aa_refund_overview]",False
What happens to my ticket value if I don't show up for my flight without notifying the airline?,normal,rag,5,0.0,ABSTAIN,"The user's question lacks essential details such as the ticket type, whether it was purchased online or through a physical ticket, and the specific circumstances under which they did not show up for their flight. Without this information, it's impossible to determine the appropriate course of action based solely on the given evidence.","['aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_force_majeure', 'aa_flight_delays', 'aa_24_hour_refund_rule']","ABSTAIN
The user's question lacks essential details such as the ticket type, whether it was purchased online or through a physical ticket, and the specific circumstances under which they did not show up for their flight. Without this information, it's impossible to determine the appropriate course of action based solely on the given evidence.",False
What happens to my ticket value if I don't show up for my flight without notifying the airline?,normal,rag,5,0.7,ABSTAIN,"The user's question lacks essential details such as the specific ticket type and whether they notified the airline about their intention to cancel. Without this information, it's impossible to determine the appropriate course of action based solely on the given evidence.","['aa_24_hour_refund_rule', 'aa_cancellation_policy', 'aa_force_majeure', 'aa_flight_delays', 'aa_24_hour_refund_rule']","ABSTAIN
The user's question lacks essential details such as the specific ticket type and whether they notified the airline about their intention to cancel. Without this information, it's impossible to determine the appropriate course of action based solely on the given evidence.",False
What happens to my ticket value if I don't show up for my flight without notifying the airline?,normal,llm_only,NA,0.0,NO_REFUND,"If you do not show up for your flight without notifying the airline, according to most airlines' policies, your ticket will be considered non-refundable. This means that even though you may have paid for the ticket, you cannot receive a refund unless there's an exceptional circumstance such as illness or emergency. Therefore, no refund would apply in this scenario.",NA,"NO_REFUND

If you do not show up for your flight without notifying the airline, according to most airlines' policies, your ticket will be considered non-refundable. This means that even though you may have paid for the ticket, you cannot receive a refund unless there's an exceptional circumstance such as illness or emergency. Therefore, no refund would apply in this scenario.",NA
What happens to my ticket value if I don't show up for my flight without notifying the airline?,normal,llm_only,NA,0.7,ABSTAIN,"The model did not produce a valid label, so I must abstain.",NA,"[CANCELLED]
If you do not show up for your flight without notifying the airline, the airline may cancel your ticket. This means that you will lose any unused portion of the ticket's value, which can be considered as a refund but with no additional compensation provided by the airline.",NA
Am I entitled to a refund if my flight is delayed by more than 4 hours?,normal,retrieval_only,NA,NA,REFUND,"Based on the retrieved American Airlines policy text, this situation is eligible for a refund. See: ['aa_non_refundable', 'aa_refund_eligibility', 'aa_non_refundable', 'aa_refund_eligibility', 'aa_flight_delays']","['aa_non_refundable', 'aa_refund_eligibility', 'aa_non_refundable', 'aa_refund_eligibility', 'aa_flight_delays']","[aa_non_refundable] Increased number of flight connections Changes are calculated from the original departure and arrival times at booking, or the latest change you made to your trip. If you accept our rebooking offers, like continuing to travel on a delayed or rescheduled flight, you won't be eligible for a refund. If you choose travel credit instead of a refund: This travel credit will be valid 5 years from the date of the qualifying delay or cancellation. Travel credit Delayed or lost bags Refunds will be issued if you filed a mishandled baggage report and the bag was not delivered within: 12 hours from your last arrival (U.S. domestic flights) 15 hours of your last arrival (international flights less than 12 hours) 30 hours of your last arrival (international flights more than 12 hours) Other fees You may be eligible for a refund if we don’t provide the ancillary services you paid for due to no fault of your own, when we become aware that the service is not available. This includes: Seats Wi-Fi Other optional fees Optional service fees Passengers with disabilities We promptly refund you if you have a disability and you inform us that you do not wish to
[aa_refund_eligibility] Increased number of flight connections Changes are calculated from the original departure and arrival times at booking, or the latest change you made to your trip. If you accept our rebooking offers, like continuing to travel on a delayed or rescheduled flight, you won't be eligible for a refund. If you choose travel credit instead of a refund: This travel credit will be valid 5 years from the date of the qualifying delay or cancellation. Travel credit Delayed or lost bags Refunds will be issued if you filed a mishandled baggage report and the bag was not delivered within: 12 hours from your last arrival (U.S. domestic flights) 15 hours of your last arrival (international flights less than 12 hours) 30 hours of your last arrival (international flights more than 12 hours) Other fees You may be eligible for a refund if we don’t provide the ancillary services you paid for due to no fault of your own, when we become aware that the service is not available. This includes: Seats Wi-Fi Other optional fees Optional service fees Passengers with disabilities We promptly refund you if you have a disability and you inform us that you do not wish to
[aa_non_refundable] refund Opens another site in a new window that may not meet accessibility guidelines I have a non-refundable ticket; can I still get a refund? This content can be expanded We don't refund cash for non-refundable tickets. However, we may refund a non-refundable ticket if: You cancel within 24 hours from the time you first buy your ticket, and bought your ticket at least 2 days before departure There is a schedule change of 3 or more hours (domestic) or 4 or more hours (international) and you decide not to travel There is a schedule change of 90 minutes or more within 72 hours of your scheduled departure time and you decide not to travel There is death of the passenger / traveling companion Military orders / change in duty U.S. Department of Transportation (DOT) rules allow you to get a refund if your flight is significantly disrupted and you decline our rebooking offers, even if you bought a non-refundable ticket. Significant flight changes and cancellations Refunds will be made to the original form of payment. Supporting documents may be required. If you bought your ticket through a travel agency or another booking source, contact them for a refund. Unsure
[aa_refund_eligibility] refund Opens another site in a new window that may not meet accessibility guidelines I have a non-refundable ticket; can I still get a refund? This content can be expanded We don't refund cash for non-refundable tickets. However, we may refund a non-refundable ticket if: You cancel within 24 hours from the time you first buy your ticket, and bought your ticket at least 2 days before departure There is a schedule change of 3 or more hours (domestic) or 4 or more hours (international) and you decide not to travel There is a schedule change of 90 minutes or more within 72 hours of your scheduled departure time and you decide not to travel There is death of the passenger / traveling companion Military orders / change in duty U.S. Department of Transportation (DOT) rules allow you to get a refund if your flight is significantly disrupted and you decline our rebooking offers, even if you bought a non-refundable ticket. Significant flight changes and cancellations Refunds will be made to the original form of payment. Supporting documents may be required. If you bought your ticket through a travel agency or another booking source, contact them for a refund. Unsure
[aa_flight_delays] not liable if: We're late or you don't make your connection We change the schedule of any flight We (or our partners) cancel a flight or route Your checked baggage is late (except as required by statute, regulation, or Convention) There are special, incidental or consequential damages because of these changes If we or our airline partner cancels your flight or your departure or arrival is delayed for 3 or more hours (domestic) / 4 or more hours (international), our sole obligation is to refund the unused ticket value and any optional fees according to our involuntary refunds policy, subject to our policy for rebooking your delayed / canceled flight. Refunds Rules for delays on international trips are governed by the Montreal Convention and Warsaw Convention. The full linked page provides more information and is incorporated by reference. Montreal Convention and Warsaw Convention Events beyond our control (Force Majeure) This content can be expanded When there's an event we can't control like weather, a strike or other civil disorder, we may have to cancel, divert or delay flights. If your ticket still has value (if you were, for example, re-accommodated in a different class of service) we'll refund the unused",True
Am I entitled to a refund if my flight is delayed by more than 4 hours?,normal,rag,2,0.0,ABSTAIN,"The user's question lacks specific details such as the ticket type, whether the flight was canceled, and the exact circumstances of the delay. Without this information, it's impossible to determine if the user is entitled to a refund based solely on the given evidence.","['aa_non_refundable', 'aa_refund_eligibility']","ABSTAIN
The user's question lacks specific details such as the ticket type, whether the flight was canceled, and the exact circumstances of the delay. Without this information, it's impossible to determine if the user is entitled to a refund based solely on the given evidence.",False
